Номенклатура;Артикул;Наименование;НаименованиеПолное;БазоваяЕдиницаИзмерения;ВидНоменклатуры;ДополнительноеОписание;Актуальность;АктуальностьЦифра;Изображение;ИзображениеОборота;Количество;10.МДК;11.Розн.3;01.Базовая цена;01.Базовая ценаПЛЮС100;Вид номенклатуры;Вид номенклатуры (НОВЫЙ);Дата первого прихода;Код цены;Кол-во в упак.;Конструктив;Материал изг.;Отделка;Подвид;Подвид (НОВЫЙ);Послеобрезной формат;Текст внутри;Формат открытки;Родитель1;Родитель2;Родитель3;Родитель4;Родитель5
e07bc77b-1b39-11e6-80bd-ac162d84fef7;54.51.054;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.054.jpg;;1340;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;94х106,5;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
cadb3e30-1b3f-11e6-80bd-ac162d84fef7;54.51.056;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.056.jpg;;1480;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;94х106,5;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
cadb3e4c-1b3f-11e6-80bd-ac162d84fef7;54.51.058;Виниловый магнит 'Ждем Вас на нашей свадьбе';Виниловый магнит 'Ждем Вас на нашей свадьбе';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.058.jpg;;1340;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;106,5х94;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
40b8c438-1b40-11e6-80bd-ac162d84fef7;54.51.062;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.062.jpg;;1300;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;106,5х94;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
e07bc76d-1b39-11e6-80bd-ac162d84fef7;54.51.053;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.053.jpg;;1610;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;94х106,5;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
40b8c446-1b40-11e6-80bd-ac162d84fef7;54.51.063;Виниловый магнит 'Приглашаем на свадьбу';Виниловый магнит 'Приглашаем на свадьбу';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/54/54.51.063.jpg;;1380;46,61;30,5;23,7;47,4;Оформительская продукция (ОФО);Приглашение;2016.06.03;617;10;магнит;винил;без отделки;магнит;Свадебное;106,5х94;нет;малый;ЗАО 'ГК Горчаков';Приглашения;Свадебные;Магниты;
2f95abd1-2be3-11e6-80bd-ac162d84fef7;51.56.063;Набор декоративных магнитов 'Любимая, спасибо за сына!';Набор декоративных магнитов 'Любимая, спасибо за сына!';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.56.063.jpg;;1680;445,45;470,3;388;776;Оформительская продукция (ОФО);Магнит;2016.06.30;660;1;магнит;винил;без отделки;магнит;Прочие надписи;294х444;нет;плакат А3;ЗАО 'ГК Горчаков';Рождение ребенка;;;
2f95abdf-2be3-11e6-80bd-ac162d84fef7;51.56.064;Набор декоративных магнитов 'Любимая, спасибо за дочь!';Набор декоративных магнитов 'Любимая, спасибо за дочь!';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.56.064.jpg;;2050;445,45;470,3;388;776;Оформительская продукция (ОФО);Магнит;2016.06.30;660;1;магнит;винил;без отделки;магнит;Прочие надписи;294х444;нет;плакат А3;ЗАО 'ГК Горчаков';Рождение ребенка;;;
2f95abd1-2be3-11e6-80bd-ac162d84fef7;51.56.063;Набор декоративных магнитов 'Любимая, спасибо за сына!';Набор декоративных магнитов 'Любимая, спасибо за сына!';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.56.063.jpg;;1680;445,45;470,3;388;776;Оформительская продукция (ОФО);Магнит;2016.06.30;660;1;магнит;винил;без отделки;магнит;Прочие надписи;294х444;нет;плакат А3;ЗАО 'ГК Горчаков';Для авто;Оформительские;Магниты;
2f95abdf-2be3-11e6-80bd-ac162d84fef7;51.56.064;Набор декоративных магнитов 'Любимая, спасибо за дочь!';Набор декоративных магнитов 'Любимая, спасибо за дочь!';шт;Оформительская продукция (ОФО);;от 30 дней и более;4;ftp://designs:preview@ftp.mirpoz.ru/MP/51/51.56.064.jpg;;2050;445,45;470,3;388;776;Оформительская продукция (ОФО);Магнит;2016.06.30;660;1;магнит;винил;без отделки;магнит;Прочие надписи;294х444;нет;плакат А3;ЗАО 'ГК Горчаков';Для авто;Оформительские;Магниты;
